City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nikolskoye,RU,2021-08-04 00:18:46,59.7035,30.7861,54.01,95,31,5.21
68,Cape Town,ZA,2021-08-04 00:14:37,-33.9258,18.4232,57.11,86,36,1.99
69,Haines Junction,CA,2021-08-04 00:18:47,60.7522,-137.5108,71.65,42,77,0.63
70,Chuy,UY,2021-08-04 00:18:47,-33.6971,-53.4616,48.87,92,3,4.41
71,Taonan,CN,2021-08-04 00:18:47,45.3333,122.7833,64.99,96,100,9.75
72,Riesi,IT,2021-08-04 00:18:47,37.2819,14.0823,81.37,51,1,2.93
73,Quang Ngai,VN,2021-08-04 00:14:54,15.1167,108.8,82.09,70,100,5.14
74,Rovaniemi,FI,2021-08-04 00:18:48,66.5,25.7167,53.01,58,0,14.97
75,Norwalk,US,2021-08-04 00:18:18,33.9022,-118.0817,110.64,44,1,3.0
76,Lazaro Cardenas,MX,2021-08-04 00:18:49,17.9583,-102.2,85.3,75,18,6.42
77,Qaanaaq,GL,2021-08-04 00:15:15,77.484,-69.3632,41.65,98,100,4.29
78,Ancud,CL,2021-08-04 00:18:49,-41.8697,-73.8203,43.43,77,62,5.39
79,Naruja,GE,2021-08-04 00:18:49,41.9069,41.9542,72.39,89,15,3.69
80,Hilo,US,2021-08-04 00:18:50,19.7297,-155.09,80.33,69,75,9.22
81,Yellapur,IN,2021-08-04 00:18:50,14.9667,74.7167,69.13,97,91,4.45
82,Olinda,BR,2021-08-04 00:18:50,-8.0089,-34.8553,76.73,78,90,10.36
83,Severo-Kurilsk,RU,2021-08-04 00:18:51,50.6789,156.125,53.94,70,70,17.6
84,Coquimbo,CL,2021-08-04 00:18:51,-29.9533,-71.3436,53.33,87,20,3.44
85,Ordzhonikidze,KZ,2021-08-04 00:18:51,52.4411,61.7408,71.01,45,89,5.12
86,Kandrian,PG,2021-08-04 00:18:52,-6.2167,149.55,82.08,78,62,4.81
87,Energeticheskiy,KZ,2021-08-04 00:18:52,43.4278,77.0222,66.76,39,75,4.47
88,Qasigiannguit,GL,2021-08-04 00:18:52,68.8193,-51.1922,48.45,86,85,1.19
89,Kaitangata,NZ,2021-08-04 00:18:53,-46.2817,169.8464,50.94,63,57,5.75
90,Chokurdakh,RU,2021-08-04 00:18:53,70.6333,147.9167,52.56,38,16,9.98
91,Kirakira,SB,2021-08-04 00:18:53,-10.4544,161.9205,81.23,69,92,7.61
92,Kailua,US,2021-08-04 00:18:54,21.4022,-157.7394,85.98,61,20,12.66
93,Barranca,PE,2021-08-04 00:18:54,-10.75,-77.7667,64.0,83,10,8.77
94,Lingao,CN,2021-08-04 00:18:55,19.9103,109.6859,82.8,82,97,15.12
95,Pumiao,CN,2021-08-04 00:18:55,22.75,108.4833,79.2,73,40,3.06
96,Longyearbyen,SJ,2021-08-04 00:18:55,78.2186,15.6401,46.24,71,75,12.66
97,Morada Nova,BR,2021-08-04 00:18:56,-5.1067,-38.3725,78.22,70,77,3.38
98,Mafeteng,LS,2021-08-04 00:18:56,-29.823,27.2374,43.16,37,0,4.94
99,Kahului,US,2021-08-04 00:18:57,20.8947,-156.47,86.02,70,40,25.32
100,Qaqortoq,GL,2021-08-04 00:18:57,60.7167,-46.0333,46.9,94,100,6.62
101,Esperance,AU,2021-08-04 00:18:57,-33.8667,121.9,51.64,74,88,4.83
102,Garden City,US,2021-08-04 00:18:58,42.3256,-83.331,76.98,52,40,9.22
103,Cidreira,BR,2021-08-04 00:18:58,-30.1811,-50.2056,55.85,91,24,5.26
104,Soyo,AO,2021-08-04 00:18:58,-6.1349,12.3689,72.32,92,50,6.87
105,Charters Towers,AU,2021-08-04 00:18:59,-20.1,146.2667,66.27,24,9,18.84
106,Allapalli,IN,2021-08-04 00:18:59,19.4167,80.0667,73.85,96,87,1.28
107,Bluff,NZ,2021-08-04 00:19:00,-46.6,168.3333,42.8,71,87,7.05
108,Castro,BR,2021-08-04 00:19:00,-24.7911,-50.0119,45.64,88,42,4.29
109,Talnakh,RU,2021-08-04 00:19:00,69.4865,88.3972,68.81,62,21,5.7
110,Sao Filipe,CV,2021-08-04 00:19:01,14.8961,-24.4956,75.81,92,100,3.02
111,Goulburn,AU,2021-08-04 00:18:13,-34.75,149.7167,44.58,83,95,23.91
112,Labuhan,ID,2021-08-04 00:19:01,-6.8844,112.2051,77.47,83,44,7.07
113,Bacolod,PH,2021-08-04 00:15:49,10.6667,122.95,82.98,79,98,13.44
114,Cabo San Lucas,MX,2021-08-04 00:16:17,22.8909,-109.9124,93.51,69,75,8.99
115,Itupiranga,BR,2021-08-04 00:19:02,-5.1347,-49.3267,77.05,46,57,0.96
116,Rawson,AR,2021-08-04 00:19:02,-43.3002,-65.1023,50.54,49,53,11.32
117,Georgetown,MY,2021-08-04 00:19:02,5.4112,100.3354,80.53,92,40,0.0
118,Hermanus,ZA,2021-08-04 00:19:03,-34.4187,19.2345,52.9,89,56,5.41
119,Ahipara,NZ,2021-08-04 00:19:03,-35.1667,173.1667,57.04,62,89,6.11
120,Mar Del Plata,AR,2021-08-04 00:19:04,-38.0023,-57.5575,54.12,38,10,1.01
