City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Caimito,CO,8.8123,-75.4107,79.72,87,37,11.01,scattered clouds
80,Nikolskoye,RU,59.7035,30.7861,57.79,80,99,0.58,overcast clouds
81,Port-Gentil,GA,-0.7193,8.7815,75.16,88,90,8.05,overcast clouds
82,Taoudenni,ML,22.6783,-3.9836,102.79,19,10,15.5,clear sky
83,Samfya,ZM,-11.3649,29.5565,58.44,52,0,5.7,clear sky
84,Castro,BR,-24.7911,-50.0119,52.75,81,100,8.77,overcast clouds
85,Candelaria,PH,13.9311,121.4233,82.38,70,81,5.19,broken clouds
86,Patacamaya,BO,-17.2333,-67.9167,45.54,46,22,4.65,few clouds
87,Lebu,CL,-37.6167,-73.65,52.2,80,100,11.74,overcast clouds
88,Tigzirt,DZ,36.8886,4.1198,78.62,53,0,4.94,clear sky
89,Uglekamensk,RU,43.2172,133.2303,81.23,73,83,3.27,broken clouds
90,Bluff,NZ,-46.6,168.3333,45.81,83,86,10.8,overcast clouds
91,Tiksi,RU,71.6872,128.8694,42.19,84,100,13.91,overcast clouds
92,Butaritari,KI,3.0707,172.7902,83.34,63,11,13.11,few clouds
93,Nassjo,SE,57.6531,14.6968,54.52,96,19,3.65,few clouds
94,Apache Junction,US,33.4151,-111.5496,109.35,26,20,7.0,few clouds
95,Green River,US,41.5286,-109.4662,83.19,28,21,8.99,few clouds
96,Urengoy,RU,65.9667,78.3667,62.6,74,5,6.87,clear sky
97,Hammonton,US,39.6365,-74.8024,86.52,67,34,6.67,scattered clouds
98,Alofi,NU,-19.0595,-169.9187,76.89,73,40,6.91,scattered clouds
99,Port Alfred,ZA,-33.5906,26.891,61.12,92,7,10.98,clear sky
100,Mahebourg,MU,-20.4081,57.7,68.29,73,40,8.05,light rain
101,Codrington,AU,-38.2667,141.9667,51.96,81,100,11.16,overcast clouds
102,Plettenberg Bay,ZA,-34.0527,23.3716,57.85,87,93,4.97,light rain
103,Puerto Madryn,AR,-42.7692,-65.0385,64.76,28,84,13.27,broken clouds
104,Lasa,IT,46.6166,10.7002,56.28,85,58,3.33,broken clouds
105,Saint-Pierre,RE,-21.3393,55.4781,67.64,64,0,8.05,clear sky
106,Novoderevyankovskaya,RU,46.3231,38.7472,76.57,46,56,8.23,broken clouds
107,Dispur,IN,26.1425,91.7889,80.55,93,86,2.15,overcast clouds
108,Soyaux,FR,45.65,0.2,63.57,85,67,9.08,broken clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,90,16.11,overcast clouds
110,Auriflama,BR,-20.6856,-50.5547,72.0,37,91,8.03,overcast clouds
111,Cidreira,BR,-30.1811,-50.2056,61.36,89,98,18.16,overcast clouds
112,Wageningen,NL,51.9667,5.6667,66.94,88,90,5.75,overcast clouds
113,Norman Wells,CA,65.282,-126.8329,66.24,63,40,10.36,scattered clouds
114,Georgetown,MY,5.4112,100.3354,79.9,86,20,2.3,few clouds
115,Acajutla,SV,13.5928,-89.8275,95.34,75,98,2.53,overcast clouds
116,Kabompo,ZM,-13.5927,24.2008,50.31,32,0,3.74,clear sky
117,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,11.5,overcast clouds
118,Skelleftea,SE,64.7507,20.9528,52.16,63,70,2.3,broken clouds
119,Hilo,US,19.7297,-155.09,83.93,75,40,12.66,light rain
